Menu,has_chicken,has_meat,category,Serving size,Calories,Fat (G),Sat. Fat (G),Trans Fat (G),Cholesterol (MG),Sodium (MG),Carbohydrates (G),Fiber (G),Sugar (G),Protein (G)
Hot Chick-n-Strips® Trays,1,1,trays,48,110,5,1,0,25,300,6,0,1,10
Chilled Grilled Chicken Sub Sandwich Tray,1,1,trays,115,220,6,2.5,0,50,450,24,0,5,18
Spicy Chilled Grilled Chicken Sub Sandwich Tray,1,1,trays,115,210,6,2.5,0,40,590,24,0,5,16
Chick-fil-A® Cool Wrap Trays,1,1,trays,116,480,39,7,0,70,970,18,7,3,22
Fruit Tray,0,0,trays,1446,780,2.5,0,0,0,10,181,29,135,9
Mac & Cheese Tray,0,0,trays,2481,4920,312,178,3.5,750,13020,308,31,36,221
Garden Salad Tray,0,0,trays,595,350,19,11,0.5,55,410,27,10,13,20
Kale Crunch Side Tray,0,0,trays,510,570,37,6,0,0,1120,56,12,30,11
Chocolate Chunk Cookie Tray,0,0,trays,78,370,17,9,0,15,230,49,3,26,5
Chocolate Fudge Brownie Tray,0,0,trays,43,190,10,3.5,0,35,75,24,1,18,2
Chocolate Chunk Cookie and Chocolate Fudge Brownie Tray,0,0,trays,120,560,28,13,0,50,300,73,4,44,7
Chilled Grilled Chicken Sub Sandwich,1,1,entree,230,440,12,5,0,90,840,47,0,10,35
Spicy Chilled Grilled Chicken Sub Sandwich,1,1,entree,230,430,12,4.5,0,85,1190,48,1,10,32
Catering Coffee,0,0,drinks,2722,0,0,0,0,0,80,0,0,0,0
Barbeque Sauce,0,0,sauces,28,45,0,0,0,0,200,11,0,9,0
Chick-fil-A® Sauce,0,0,sauces,28,140,13,2,0,10,170,7,0,6,0
Garden Herb Ranch Sauce,0,0,sauces,28,140,15,2.5,0,15,210,1,0,1,1
Honey Mustard Sauce,0,0,sauces,28,50,0,0,0,0,160,12,0,10,0
Polynesian Sauce,0,0,sauces,28,110,6,1,0,0,220,14,0,12,0
Sweet and Spicy Sriracha Sauce,0,0,sauces,28,45,0,0,0,0,380,11,0,10,0
Zesty Buffalo Sauce,0,0,sauces,21,25,2.5,0,0,5,570,1,0,0,0
Honey Roasted BBQ Sauce,0,0,sauces,12,60,5,1,0,5,75,3,0,2,0
Avocado Lime Ranch Dressing,0,0,sauces,57,310,32,5,0,25,520,3,1,2,1
Creamy Salsa Dressing,0,0,sauces,57,290,31,5,0,25,630,2,0,1,1
Fat Free Honey Mustard Dressing,0,0,sauces,57,90,0,0,0,0,330,23,1,19,0
Garden Herb Ranch Dressing,0,0,sauces,57,280,29,5,0,25,450,2,0,1,1
Light Balsamic Vinaigrette Dressing,0,0,sauces,57,80,4,0.5,0,0,360,10,0,9,0
Light Italian Dressing,0,0,sauces,57,25,1,0,0,0,470,3,0,2,0
Zesty Apple Cider Vinaigrette Dressing,0,0,sauces,56,230,19,3,0,0,460,16,0,14,0
Grilled Breakfast Filet,1,1,single_item,50,60,1,0,0,40,420,0,0,0,13
Bacon,0,1,single_item,10,50,3.5,1.5,0,10,210,0,0,0,4
Chick-fil-A® Breakfast Filet,1,1,single_item,72,160,8,1.5,0,45,750,8,0,2,15
Sausage,0,1,single_item,57,240,22,8,0,35,430,1,0,0,11
Grilled Filet,1,1,single_item,84,110,2,0,0,70,370,1,0,1,21
Spicy Filet,1,1,single_item,120,280,13,2.5,0,65,1390,16,1,2,23
Chick-fil-A® Filet,1,1,single_item,115,250,12,2.5,0,70,1120,12,0,1,24
Lettuce,0,0,single_item,20,5,0,0,0,0,5,1,0,0,0
Pickles,0,0,single_item,10,0,0,0,0,0,115,0,0,0,0
Tomato,0,0,single_item,30,5,0,0,0,0,0,1,0,1,0
American Cheese,0,0,single_item,14,50,4.5,2.5,0,15,230,1,0,0,3
Colby Jack Cheese,0,0,single_item,21,80,7,4,0,20,140,0,0,0,5
Pepper Jack Cheese,0,0,single_item,21,80,6,4,0,20,140,0,0,0,4
Chili Lime Pepitas,0,0,single_item,14,80,7,1,0,0,50,2,1,0,4
Crispy Bell Peppers,0,0,single_item,14,80,6,0,0,0,75,6,0,0,1
Harvest Nut Granola,0,0,single_item,14,70,2,0,0,0,35,10,0,4,1
Seasoned Tortilla Strips,0,0,single_item,14,70,4,0,0,0,55,8,1,0,1
Lemon Parmesan Panko,0,0,single_item,0,0,0,0,0,0,0,0,0,0,0
Saltines,0,0,single_item,6,25,0.5,0,0,0,90,5,0,0,0
