Colors,Flowers,StemPrice,SQty,SPrice,DQty,DPrice,PQty,PPrice,EQty,EPrice
Hot Pink,Stock stems,1.19,3,3.57,4,4.76,5,5.949999999999999,5,5.949999999999999
Red,Alstroemeria stems,0.76,3,2.2800000000000002,3,2.2800000000000002,4,3.04,4,3.04
Pink,50 cm Roses,1.18,2,2.36,3,3.54,4,4.72,10,11.799999999999999
Red,Mini Carnation stems,0.56,2,1.12,3,1.6800000000000002,4,2.24,4,2.24
Red,Standard Carnations,0.57,2,1.14,3,1.71,4,2.28,4,2.28
,Salal tips,0.25,3,0.75,3,0.75,3,0.75,3,0.75
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
G3833,Red Glass Vase,4,1,4,1,4,1,4,1,4
