Colors,Flowers,StemPrice,SQty,SPrice,DQty,DPrice,PQty,PPrice,EQty,EPrice
Pink,50 cm Roses,1.18,2,2.36,4,4.72,8,9.44,,0
Pink,Waxflower Stems,1.22,1,1.22,2,2.44,2,2.44,,0
,Gunni Eucalyptus stems,1.11,1,1.11,2,2.22,2,2.22,,0
,Salal tips,0.25,1,0.25,1,0.25,1,0.25,,0
,Floral Foam blocks,0.75,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.25,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
2107,Metal Moon Vase w/ Stars,6.99,1,6.99,1,6.99,1,6.99,,0
,Shipping,1.4,1,1.4,1,1.4,1,1.4,,0
