Colors,Flowers,StemPrice,SQty,SPrice,DQty,DPrice,PQty,PPrice,EQty,EPrice
Hot Pink,Standard Carnations,0.53,3,1.59,3,1.59,3,1.59,3,1.59
Orange,Spray Rose stems,0.9,2,1.8,3,2.7,3,2.7,3,2.7
Orange,Gerbera Daisies,1.14,2,2.28,2,2.28,3,3.42,3,3.42
Hot Pink,Mini Carnation stems,0.51,2,1.02,2,1.02,2,1.02,2,1.02
Peach,Hypericum Berry stems,0.77,1,0.77,2,1.54,3,2.31,3,2.31
Hot Pink,50 cm Roses,0.96,0,0,2,1.92,4,3.84,10,9.6
Pink,Stock stems,0.85,0,0,2,1.7,3,2.55,3,2.55
,Israeli Ruscus stems,0.35,4,1.4,4,1.4,4,1.4,4,1.4
,Salal tips,0.23,1,0.23,1,0.23,1,0.23,1,0.23
,,,,0,,0,,0,,0
2120S,Small Cinched Vase,5.12,1,5.12,1,5.12,,0,,0
2120L,Large Cinched Vase,5.94,,0,,0,1,5.94,1,5.94
