Calories,Fat,SatFat,TransFat,Cholesterol,Sodium,Carbs,Fiber,Sugar,Protein,Serving
120,0,0,0,0,10,31,0,31,0,320
0,0,0,0,0,10,0,0,0,0,306
220,0,0,0,0,10,58,0,55,0,410
50,0,0,0,0,10,14,0,10,0,410
160,0,0,0,0,5,44,0,42,0,557
90,0,0,0,0,10,25,0,23,0,551
90,0,0,0,0,0,25,0,23,0,551
20,0,0,0,0,0,6,0,4,0,551
150,2.5,1.5,0,0,75,30,0,24,5,438
140,0,0,0,0,45,39,0,39,0,354
180,0,0,0,0,75,48,0,47,0,434
0,0,0,0,0,0,0,0,0,0,479
35,0,0,0,0,15,9,0,8,0,170
160,0,0,0,0,10,34,0,30,2,326
140,2,1.5,0,10,160,23,0,21,7,198
90,2,1.5,0,10,105,10,0,10,7,213
0,0,0,0,0,10,0,0,0,0,340
2090,1.5,0,0,0,95,549,2,517,2,3884
0,0,0,0,0,0,0,0,0,0,28
70,0,0,0,0,5,19,0,19,0,201
120,0,0,0,0,10,31,0,31,0,320
170,0,0,0,0,10,43,0,43,0,447
0,0,0,0,0,5,0,0,0,0,201
0,0,0,0,0,10,0,0,0,0,306
0,0,0,0,0,15,0,0,0,0,423
130,0,0,0,0,5,33,0,31,0,235
220,0,0,0,0,10,58,0,55,0,410
300,0,0,0,0,15,78,0,74,0,552
30,0,0,0,0,5,8,0,6,0,235
50,0,0,0,0,10,14,0,10,0,410
80,0,0,0,0,15,21,0,15,0,611
120,0,0,0,0,0,33,0,31,0,419
160,0,0,0,0,5,44,0,42,0,557
260,0,0,0,0,5,70,0,66,0,861
70,0,0,0,0,10,19,0,18,0,412
90,0,0,0,0,10,25,0,23,0,551
140,0,0,0,0,15,37,0,35,0,839
60,0,0,0,0,0,17,0,16,0,382
90,0,0,0,0,0,25,0,23,0,551
140,0,0,0,0,0,39,0,36,0,839
15,0,0,0,0,0,4,0,3,0,422
20,0,0,0,0,0,6,0,4,0,551
35,0,0,0,0,5,9,0,7,0,839
140,2.5,1.5,0,0,75,30,0,23,5,438
100,0,0,0,0,30,26,0,26,0,241
140,0,0,0,0,45,39,0,39,0,354
220,0,0,0,0,70,62,0,62,0,567
140,0,0,0,0,55,36,0,35,0,320
180,0,0,0,0,75,48,0,47,0,434
270,0,0,0,0,110,71,0,69,0,638
2090,1.5,0,0,0,95,549,2,517,2,3884
460,1.5,0,0,0,95,126,2,91,3,3714
1390,0.5,0,0,0,40,389,1,350,1,3989
1540,0,0,0,0,115,398,0,397,0,4167
0,0,0,0,0,110,0,0,0,0,3714
770,0,0,0,0,60,200,0,200,0,3904
1820,0,0,0,0,60,491,0,470,0,4176
1010,1,0,0,0,105,265,1,246,1,3997
1040,0,0,0,0,0,291,0,271,0,3898
240,1,0,0,0,50,65,1,47,1,3719
520,22,8,0,105,1110,44,3,12,37,249
30,1.5,0,0,10,150,1,0,0,3,14
30,1.5,0,0,10,150,1,0,0,3,14
110,5,1,0,25,300,6,0,1,10,48
110,5,1,0,25,300,6,0,1,10,48
220,6,2.5,0,50,450,24,0,5,18,115
210,6,2.5,0,40,590,24,0,5,16,115
480,39,7,0,70,970,18,7,3,22,116
780,2.5,0,0,0,10,181,29,135,9,1446
4920,312,178,3.5,750,13020,308,31,36,221,2481
350,19,11,0.5,55,410,27,10,13,20,595
570,37,6,0,0,1120,56,12,30,11,510
370,17,9,0,15,230,49,3,26,5,78
190,10,3.5,0,35,75,24,1,18,2,43
560,28,13,0,50,300,73,4,44,7,120
30,1.5,0,0,10,150,1,0,0,3,14
30,1.5,0,0,10,150,1,0,0,3,14
30,1.5,0,0,10,150,1,0,0,3,14
30,1.5,0,0,10,150,1,0,0,3,14
30,1.5,0,0,10,150,1,0,0,3,14
30,1.5,0,0,10,150,1,0,0,3,14
110,5,1,0,25,300,6,0,1,10,48
110,5,1,0,25,300,6,0,1,10,48
110,5,1,0,25,300,6,0,1,10,48
110,5,1,0,25,300,6,0,1,10,48
110,5,1,0,25,300,6,0,1,10,48
110,5,1,0,25,300,6,0,1,10,48
220,6,2.5,0,50,450,24,0,5,18,115
220,6,2.5,0,50,450,24,0,5,18,115
220,6,2.5,0,50,450,24,0,5,18,115
210,6,2.5,0,40,590,24,0,5,16,115
210,6,2.5,0,40,590,24,0,5,16,115
210,6,2.5,0,40,590,24,0,5,16,115
480,39,7,0,70,970,18,7,3,22,116
480,39,7,0,70,970,18,7,3,22,116
480,39,7,0,70,970,18,7,3,22,116
780,2.5,0,0,0,10,181,29,135,9,1446
1580,5,0,0,0,20,366,58,274,18,2948
4920,312,178,3.5,750,13020,308,31,36,221,2481
9850,624,355,7,1500,26050,616,63,71,442,4961
350,19,11,0.5,55,410,27,10,13,20,595
690,37,23,1.5,110,810,54,19,26,41,1191
570,37,6,0,0,1120,56,12,30,11,510
1260,81,12,1,0,2480,125,27,66,24,1134
370,17,9,0,15,230,49,3,26,5,78
370,17,9,0,15,230,49,3,26,5,78
190,10,3.5,0,35,75,24,1,18,2,43
190,10,3.5,0,35,75,24,1,18,2,43
560,28,13,0,50,300,73,4,44,7,120
560,28,13,0,50,300,73,4,44,7,120
440,12,5,0,90,840,47,0,10,35,230
430,12,4.5,0,85,1190,48,1,10,32,230
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,80,0,0,0,0,2722
0,0,0,0,0,80,0,0,0,0,2722
1140,103,17,1.5,70,1390,50,1,47,2,226
860,48,8,0.5,0,1680,107,2,102,1,224
1100,117,20,2,95,1780,8,0,5,4,226
380,3,0,0,0,1250,88,1,78,2,227
360,0,0,0,0,1560,88,2,71,2,226
45,0,0,0,0,200,11,0,9,0,28
140,13,2,0,10,170,7,0,6,0,28
140,15,2.5,0,15,210,1,0,1,1,28
50,0,0,0,0,160,12,0,10,0,28
110,6,1,0,0,220,14,0,12,0,28
45,0,0,0,0,380,11,0,10,0,28
25,2.5,0,0,5,570,1,0,0,0,21
60,5,1,0,5,75,3,0,2,0,12
310,32,5,0,25,520,3,1,2,1,57
290,31,5,0,25,630,2,0,1,1,57
90,0,0,0,0,330,23,1,19,0,57
280,29,5,0,25,450,2,0,1,1,57
80,4,0.5,0,0,360,10,0,9,0,57
25,1,0,0,0,470,3,0,2,0,57
230,19,3,0,0,460,16,0,14,0,56
60,1,0,0,40,420,0,0,0,13,50
50,3.5,1.5,0,10,210,0,0,0,4,10
160,8,1.5,0,45,750,8,0,2,15,72
240,22,8,0,35,430,1,0,0,11,57
110,2,0,0,70,370,1,0,1,21,84
280,13,2.5,0,65,1390,16,1,2,23,120
250,12,2.5,0,70,1120,12,0,1,24,115
5,0,0,0,0,5,1,0,0,0,20
0,0,0,0,0,115,0,0,0,0,10
5,0,0,0,0,0,1,0,1,0,30
50,4.5,2.5,0,15,230,1,0,0,3,14
80,7,4,0,20,140,0,0,0,5,21
80,6,4,0,20,140,0,0,0,4,21
80,7,1,0,0,50,2,1,0,4,14
80,6,0,0,0,75,6,0,0,1,14
70,2,0,0,0,35,10,0,4,1,14
70,4,0,0,0,55,8,1,0,1,14
0,0,0,0,0,0,0,0,0,0,0
25,0.5,0,0,0,90,5,0,0,0,6
