V5441,Cupid's Crush Bouquet,Unnamed: 2,Good,Unnamed: 4,Better,Unnamed: 6,Best,Unnamed: 8,Exquisite,Unnamed: 10
,Baby Blue Eucalyptus stems,0.88,0.050000000000000044,0.83,,,,,,
,Bear Grass blades,0.08,0.009999999999999995,0.07,,,,,,
,Curly Willow tips,0.89,0.020000000000000018,0.87,,,,,,
,Gunni Eucalyptus stems,1.11,,,,,,,,
,Silver dollar Eucalyptus stems,1.78,,,,,,,,
,Green Pittosporum stems,0.65,0.020000000000000018,0.63,,,,,,
,Israeli Ruscus stems,0.39,0.010000000000000009,0.38,,,,,,
,Italian Ruscus stems,1.77,0.020000000000000018,1.75,,,,,,
,Italian Variegated Pittosporum stems,0.9,0.020000000000000018,0.88,,,,,,
,Ivy vines,0.73,0.010000000000000009,0.72,,,,,,
,Leatherleaf stems,0.17,0.010000000000000009,0.16,,,,,,
,Lily Grass blades,0.34,0.010000000000000009,0.33,,,,,,
,Mini Myrtle stems,0.97,0.030000000000000027,0.94,,,,,,
,Myrtle stems,0.88,0.020000000000000018,0.86,,,,,,
,Salal stems,0.46,-0.13999999999999996,0.6,,,,,,
,Salal tips,0.25,0.03,0.22,,,,,,
,Seeded Eucalyptus stems,1.78,0.040000000000000036,1.74,,,,,,
,Sword Fern fronds,0.51,0.010000000000000009,0.5,,,,,,
,Ti leaves,0.47,0,0.47,,,,,,
,Variegated Aspidistra leaves,0.78,0.08000000000000007,0.7,,,,,,
,Variegated Pittosporum stems,0.9,0.25,0.65,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Hardgoods,,,,,,,,,
,Small Gold Dipped Vase,7.17,,,,,,,,
,Large Gold Dipped Vase,11.75,,,,,,,,
,Small Cinched Vase,4.7,,,,,,,,
,Large Cinched Vase,5.52,,,,,,,,
,White Wooded Box,6.96,,,,,,,,
,Brown Wood Box,7,,,,,,,,
